temperature_c,humidity_pct,wind_speed_kmh,wind_direction_deg,pressure_hpa,precipitation_mm,cloud_cover_pct,dew_point_c,uv_index,visibility_km,land_surface_temp_c,ndvi,evi,soil_moisture,elevation_m,slope_deg,aspect_deg,nearby_fire_count,nearest_fire_dist_km,fire_radiative_power,latitude,longitude,month,day_of_year,hour,risk_label
25.2,65,12.5,180,1013.2,0.0,20,12.4,5,15.0,28.4,0.65,0.42,0.45,520,5.2,180,0,999,0,34.0476,77.3378,5,125,14,0
32.5,25,28.4,220,1008.5,0.0,0,8.2,9,25.0,38.6,0.22,0.15,0.12,1200,15.8,220,2,15.4,150.5,34.0476,77.3378,7,201,15,3
28.7,40,18.2,45,1011.0,0.2,45,15.6,6,12.0,31.2,0.45,0.30,0.28,850,8.4,45,1,45.2,45.0,34.0476,77.3378,6,165,11,2
22.4,85,8.2,300,1015.4,5.4,90,18.2,2,5.0,20.2,0.85,0.55,0.75,300,2.1,300,0,999,0,34.0476,77.3378,9,260,10,0
38.2,15,45.6,270,1002.1,0.0,0,5.4,11,30.0,45.2,0.12,0.08,0.05,1500,25.4,270,5,5.2,450.8,34.0476,77.3378,5,130,13,3
26.5,55,14.2,135,1012.5,0.0,30,14.2,7,18.0,29.5,0.52,0.35,0.38,600,6.5,135,0,120.5,0,34.0476,77.3378,4,105,16,1
30.2,35,22.1,90,1009.8,0.0,10,10.5,8,22.0,34.2,0.38,0.25,0.22,1000,12.2,90,1,28.4,65.2,34.0476,77.3378,8,230,12,2
24.8,70,10.5,250,1014.2,1.2,60,15.4,4,10.0,26.4,0.72,0.48,0.58,450,4.2,250,0,999,0,34.0476,77.3378,10,290,9,0
35.6,20,32.5,315,1005.4,0.0,5,6.8,10,28.0,42.4,0.18,0.12,0.08,1800,20.5,315,3,8.4,280.4,34.0476,77.3378,6,172,14,3
27.8,48,16.5,20,1011.8,0.0,25,13.8,7,20.0,30.8,0.48,0.32,0.35,700,7.8,20,0,85.2,0,34.0476,77.3378,3,78,15,1
